timestamp,noise_db,status,event
2026-09-24 20:59:29,43.0,QUIET,Status changed
2026-09-24 20:59:30,70.9,NOISY,Status changed
2026-09-24 20:59:30,48.8,MODERATE,Status changed
2026-09-24 20:59:30,39.6,QUIET,Status changed
2026-09-24 20:59:30,45.0,MODERATE,Status changed
2026-09-24 20:59:31,35.7,QUIET,Status changed
2026-09-24 20:59:31,47.6,MODERATE,Status changed
2026-09-24 20:59:31,17.6,QUIET,Status changed
2026-09-24 20:59:34,46.0,MODERATE,Status changed
2026-09-24 20:59:35,36.0,QUIET,Status changed
2026-09-24 20:59:35,65.1,NOISY,Status changed
2026-09-24 20:59:36,29.9,QUIET,Status changed
2026-09-24 20:59:36,52.9,MODERATE,Status changed
2026-09-24 20:59:37,42.4,QUIET,Status changed
2026-09-24 20:59:39,46.0,MODERATE,Status changed
2026-09-24 20:59:40,44.1,QUIET,Status changed
2026-09-24 20:59:42,48.6,MODERATE,Status changed
2026-09-24 20:59:43,43.8,QUIET,Status changed
2026-09-24 20:59:43,48.4,MODERATE,Status changed
2026-09-24 20:59:43,43.8,QUIET,Status changed
2026-09-24 20:59:43,49.1,MODERATE,Status changed
2026-09-24 20:59:43,40.7,QUIET,Status changed
2026-09-24 20:59:43,47.3,MODERATE,Status changed
2026-09-24 20:59:43,18.6,QUIET,Status changed
2026-09-24 20:59:44,45.3,MODERATE,Status changed
2026-09-24 20:59:44,40.4,QUIET,Status changed
2026-09-24 20:59:55,48.7,MODERATE,Status changed
2026-09-24 20:59:55,29.0,QUIET,Status changed
2026-09-24 20:59:56,45.9,MODERATE,Status changed
2026-09-24 20:59:56,34.0,QUIET,Status changed
2026-09-24 20:59:56,45.3,MODERATE,Status changed
2026-09-24 20:59:56,24.6,QUIET,Status changed
2026-09-24 20:59:59,49.0,MODERATE,Status changed
2026-09-24 21:00:00,23.3,QUIET,Status changed
2026-09-24 21:00:01,49.2,MODERATE,Status changed
2026-09-24 21:00:01,40.6,QUIET,Status changed
2026-09-24 21:00:02,45.8,MODERATE,Status changed
2026-09-24 21:00:02,44.7,QUIET,Status changed
2026-09-24 21:00:02,48.0,MODERATE,Status changed
2026-09-24 21:00:02,44.6,QUIET,Status changed
2026-09-24 21:00:03,47.6,MODERATE,Status changed
2026-09-24 21:00:03,44.8,QUIET,Status changed
2026-09-24 21:00:03,47.8,MODERATE,Status changed
2026-09-24 21:00:03,39.1,QUIET,Status changed
2026-09-24 21:00:03,46.6,MODERATE,Status changed
2026-09-24 21:00:03,33.4,QUIET,Status changed
2026-09-24 21:00:03,46.7,MODERATE,Status changed
2026-09-24 21:00:04,42.2,QUIET,Status changed
2026-09-24 21:00:04,51.4,MODERATE,Status changed
2026-09-24 21:00:05,39.8,QUIET,Status changed
2026-09-24 21:00:05,49.5,MODERATE,Status changed
2026-09-24 21:00:06,40.6,QUIET,Status changed
2026-09-24 21:00:08,47.5,MODERATE,Status changed
2026-09-24 21:00:09,40.9,QUIET,Status changed
2026-09-24 21:00:10,52.6,MODERATE,Status changed
2026-09-24 21:00:10,18.1,QUIET,Status changed
2026-09-24 21:00:11,49.7,MODERATE,Status changed
2026-09-24 21:00:11,38.9,QUIET,Status changed
2026-09-24 21:00:11,48.0,MODERATE,Status changed
2026-09-24 21:00:11,38.1,QUIET,Status changed
2026-09-24 21:00:14,45.9,MODERATE,Status changed
2026-09-24 21:00:14,34.7,QUIET,Status changed
2026-09-24 21:00:15,45.1,MODERATE,Status changed
2026-09-24 21:00:15,30.1,QUIET,Status changed
2026-09-24 21:00:17,53.7,MODERATE,Status changed
2026-09-24 21:00:17,44.6,QUIET,Status changed
2026-09-24 21:00:17,54.5,MODERATE,Status changed
2026-09-24 21:00:18,37.7,QUIET,Status changed
2026-09-24 21:00:18,47.8,MODERATE,Status changed
2026-09-24 21:00:19,38.7,QUIET,Status changed
2026-09-24 21:00:19,48.3,MODERATE,Status changed
2026-09-24 21:00:20,44.7,QUIET,Status changed
2026-09-24 21:00:20,46.1,MODERATE,Status changed
2026-09-24 21:00:20,40.3,QUIET,Status changed
2026-09-24 21:00:20,56.8,MODERATE,Status changed
